FirstName,LastName,Street,City,State,Postal,Country,Email,Phone,Latitude,Longitude,Categories,PickupAt,TimeZoneId
Brett,Sullivan,2784 Ella Street,San Francisco,CA,94107,US,BrettJSullivan@teleworm.us,650-262-4366,37.728912,-122.324225,45,2016-11-29T16:00:00-08:00,America/Los_Angeles
Fritz,Worden,1660 Hillview Drive,San Francisco,CA,94103,US,FritzLWorden@teleworm.us,707-220-1299,37.764859,-122.36167,23,2016-11-07T10:00:00-08:00,America/Los_Angeles
Carlos,Marsh,3998 Pretty View Lane,San Francisco,CA,94104,US,CarlosKMarsh@einrot.com,707-901-3071,37.817239,-122.447783,55,2016-11-29T17:00:00-08:00,America/Los_Angeles
Judith,Linton,1956 Lindale Avenue,San Francisco,CA,94108,US,JudithCLinton@gustr.com,510-499-5206,37.864287,-122.312867,30,2016-11-15T20:00:00-08:00,America/Los_Angeles
William,Rader,3153 Harrison Street,San Francisco,CA,94143,US,WilliamRRader@jourrapide.com,415-498-0560,37.753641,-122.446069,47,2016-11-21T14:00:00-08:00,America/Los_Angeles
Andrew,Beaver,4562 Beech Street,San Francisco,CA,94107,US,AndrewJBeaver@gustr.com,925-738-4755,37.815331,-122.46073,33,2016-11-06T11:00:00-08:00,America/Los_Angeles
Marcella,Graham,1172 Water Street,San Francisco,CA,94107,US,MarcellaGGraham@rhyta.com,925-282-5536,37.763617,-122.301285,10,2016-11-02T19:00:00-07:00,America/Los_Angeles
Margaret,Short,4267 Meadow Lane,San Francisco,CA,94108,US,MargaretJShort@gustr.com,707-319-1043,37.72528,-122.326556,28,2016-11-28T20:00:00-08:00,America/Los_Angeles
Julia,Horton,4274 Station Street,San Francisco,CA,94104,US,JuliaRHorton@fleckens.hu,510-896-9009,37.874197,-122.498994,60,2016-11-22T11:00:00-08:00,America/Los_Angeles
Dorothy,Robbins,4173 Delaware Avenue,San Francisco,CA,94108,US,DorothyTRobbins@fleckens.hu,415-288-1475,37.759431,-122.459362,0,2016-11-13T12:00:00-08:00,America/Los_Angeles
Michael,Payne,4760 Boring Lane,San Francisco,CA,94122,US,MichaelSPayne@teleworm.us,415-682-7315,37.846456,-122.551788,3,2016-11-25T13:00:00-08:00,America/Los_Angeles
Ines,Pope,2967 Harrison Street,San Francisco,CA,94103,US,InesKPope@rhyta.com,415-556-1539,37.683138,-122.486404,40,2016-11-27T20:00:00-08:00,America/Los_Angeles
Aaron,Washington,3818 Duck Creek Road,San Francisco,CA,94104,US,AaronPWashington@fleckens.hu,650-779-5805,37.755094,-122.391831,41,2016-11-21T10:00:00-08:00,America/Los_Angeles
Doris,Smith,2811 Harrison Street,San Francisco,CA,94103,US,DorisRSmith@dayrep.com,415-581-1387,37.766554,-122.433097,6,2016-11-21T10:00:00-08:00,America/Los_Angeles
Russell,Lavender,515 Ventura Drive,San Francisco,CA,94111,US,RussellDLavender@einrot.com,831-255-0707,37.808747,-122.367998,54,2016-11-10T11:00:00-08:00,America/Los_Angeles
Mary,Painter,2051 Roosevelt Street,San Francisco,CA,94108,US,MaryEPainter@fleckens.hu,415-403-2516,37.836189,-122.399934,23,2016-11-08T18:00:00-08:00,America/Los_Angeles
Wanda,Williams,1611 Roosevelt Street,San Francisco,CA,94107,US,WandaJWilliams@rhyta.com,415-407-0274,37.818573,-122.353783,15,2016-11-18T18:00:00-08:00,America/Los_Angeles
Lara,Barnes,682 Water Street,San Francisco,CA,94124,US,LaraLBarnes@cuvox.de,925-300-5406,37.694346,-122.454961,2,2016-11-13T14:00:00-08:00,America/Los_Angeles
Melvin,Dumont,3156 Rardin Drive,San Francisco,CA,94107,US,MelvinJDumont@teleworm.us,650-628-3063,37.784808,-122.376211,38,2016-11-14T20:00:00-08:00,America/Los_Angeles
Lucas,Cruz,325 Locust View Drive,San Francisco,CA,94108,US,LucasFCruz@teleworm.us,415-912-5367,37.855518,-122.322495,57,2016-11-08T11:00:00-08:00,America/Los_Angeles
Irma,Livingston,4772 Delaware Avenue,San Francisco,CA,94143,US,IrmaPLivingston@fleckens.hu,415-348-4897,37.854896,-122.541774,5,2016-11-13T15:00:00-08:00,America/Los_Angeles
Joseph,Brown,4589 Meadow Lane,San Francisco,CA,94104,US,JosephLBrown@superrito.com,707-267-8353,37.837932,-122.441114,47,2016-11-15T15:00:00-08:00,America/Los_Angeles
Scott,Hansen,3303 Delaware Avenue,San Francisco,CA,94108,US,ScottTHansen@gustr.com,415-272-8312,37.820143,-122.342708,58,2016-11-17T13:00:00-08:00,America/Los_Angeles
Marie,Wells,3571 Lindale Avenue,San Francisco,CA,94108,US,MariePWells@jourrapide.com,510-499-5232,37.760994,-122.36252,11,2016-11-12T10:00:00-08:00,America/Los_Angeles
Steven,Mizell,4847 Boring Lane,San Francisco,CA,94103,US,StevenBMizell@teleworm.us,415-626-7260,37.864888,-122.349569,12,2016-11-27T12:00:00-08:00,America/Los_Angeles
Edward,Eads,2114 Locust View Drive,San Francisco,CA,94110,US,EdwardAEads@fleckens.hu,415-920-4780,37.702757,-122.47237,34,2016-11-13T19:00:00-08:00,America/Los_Angeles
Ester,Valle,102 Delaware Avenue,San Francisco,CA,94107,US,EsterCValle@teleworm.us,415-310-2239,37.860683,-122.435103,45,2016-11-24T12:00:00-08:00,America/Los_Angeles
Robert,Kist,3366 Larry Street,San Francisco,CA,94107,US,RobertJKist@superrito.com,415-228-8458,37.702067,-122.447688,8,2016-11-17T14:00:00-08:00,America/Los_Angeles
Mark,Ruiz,702 Jim Rosa Lane,San Francisco,CA,94143,US,MarkHRuiz@fleckens.hu,415-764-9431,37.847436,-122.474677,0,2016-11-10T11:00:00-08:00,America/Los_Angeles
Stephen,Ladue,1232 Ventura Drive,San Francisco,CA,94107,US,StephenALadue@superrito.com,831-359-5393,37.800185,-122.462074,60,2016-11-25T10:00:00-08:00,America/Los_Angeles
Deana,Mitchell,3343 Pretty View Lane,San Francisco,CA,94107,US,DeanaCMitchell@jourrapide.com,707-927-1547,37.800826,-122.348805,62,2016-11-14T15:00:00-08:00,America/Los_Angeles
Charlie,Jones,4039 Black Oak Hollow Road,San Francisco,CA,94107,US,CharlieTJones@gustr.com,408-717-4330,37.683022,-122.456497,40,2016-11-18T12:00:00-08:00,America/Los_Angeles
Ida,Lyon,445 Jim Rosa Lane,San Francisco,CA,94103,US,IdaLLyon@einrot.com,415-863-2076,37.717917,-122.49406,62,2016-11-26T18:00:00-08:00,America/Los_Angeles
Bonnie,Knapp,2813 Thunder Road,San Francisco,CA,94103,US,BonnieRKnapp@fleckens.hu,650-472-2835,37.868857,-122.357707,8,2016-11-07T20:00:00-08:00,America/Los_Angeles
Edward,Rivera,4852 Lindale Avenue,San Francisco,CA,94107,US,EdwardMRivera@einrot.com,510-493-0984,37.800758,-122.313477,52,2016-11-16T09:00:00-08:00,America/Los_Angeles
Philip,Browne,2428 Duck Creek Road,San Francisco,CA,94104,US,PhilipJBrowne@einrot.com,650-748-7682,37.825599,-122.496756,1,2016-11-08T20:00:00-08:00,America/Los_Angeles
Brenda,Klein,2067 Rardin Drive,San Francisco,CA,94107,US,BrendaJKlein@dayrep.com,650-678-2950,37.79542,-122.474316,42,2016-11-25T12:00:00-08:00,America/Los_Angeles
Antoinette,Ramirez,1657 Ella Street,San Francisco,CA,94107,US,AntoinetteWRamirez@dayrep.com,650-276-2533,37.794857,-122.461714,63,2016-11-13T18:00:00-08:00,America/Los_Angeles
Santos,Houchin,3573 Roosevelt Street,San Francisco,CA,94108,US,SantosGHouchin@gustr.com,415-364-1840,37.825583,-122.502575,43,2016-11-15T18:00:00-08:00,America/Los_Angeles
Debra,Kellam,1727 Thunder Road,San Francisco,CA,94111,US,DebraSKellam@gustr.com,650-545-5488,37.822699,-122.361942,45,2016-11-20T11:00:00-08:00,America/Los_Angeles
Donald,Nguyen,2122 Locust View Drive,San Francisco,CA,94143,US,DonaldMNguyen@jourrapide.com,415-979-6202,37.837139,-122.48346,18,2016-11-14T11:00:00-08:00,America/Los_Angeles
Terry,McCall,2696 Harrison Street,San Francisco,CA,94143,US,TerryAMcCall@dayrep.com,415-478-2303,37.750105,-122.528704,16,2016-11-12T12:00:00-08:00,America/Los_Angeles
Roger,Nielson,3962 Lynch Street,San Francisco,CA,94103,US,RogerMNielson@einrot.com,925-217-3613,37.730511,-122.372668,61,2016-11-21T13:00:00-08:00,America/Los_Angeles
Paula,Miller,4253 Harrison Street,San Francisco,CA,94107,US,PaulaPMiller@rhyta.com,415-483-7310,37.823068,-122.350378,45,2016-11-01T15:00:00-07:00,America/Los_Angeles
Elijah,Fugate,2388 Harrison Street,San Francisco,CA,94124,US,ElijahSFugate@jourrapide.com,415-508-0783,37.803633,-122.288551,25,2016-11-11T09:00:00-08:00,America/Los_Angeles
Joseph,Knight,49 Larry Street,San Francisco,CA,94107,US,JosephJKnight@fleckens.hu,415-228-0159,37.767707,-122.317691,57,2016-11-29T19:00:00-08:00,America/Los_Angeles
Stephanie,Miller,2852 Sycamore Street,San Francisco,CA,94103,US,StephanieJMiller@cuvox.de,408-850-2602,37.717925,-122.504889,57,2016-11-14T12:00:00-08:00,America/Los_Angeles
Kristi,Depalma,493 Ella Street,San Francisco,CA,94143,US,KristiRDepalma@einrot.com,650-260-3103,37.829915,-122.495663,48,2016-11-10T17:00:00-08:00,America/Los_Angeles
Thomas,Miller,1390 Roosevelt Street,San Francisco,CA,94107,US,ThomasYMiller@armyspy.com,415-424-3348,37.707669,-122.296922,15,2016-11-19T12:00:00-08:00,America/Los_Angeles
Paul,Nelson,4421 Wolf Pen Road,San Francisco,CA,94107,US,PaulCNelson@fleckens.hu,650-426-6337,37.86636,-122.311271,24,2016-11-12T08:00:00-08:00,America/Los_Angeles
Allan,Cummings,366 Jim Rosa Lane,San Francisco,CA,94143,US,AllanKCummings@rhyta.com,415-778-5222,37.663705,-122.447348,8,2016-11-28T11:00:00-08:00,America/Los_Angeles
Porsche,Jackson,972 Meadow Lane,San Francisco,CA,94124,US,PorscheDJackson@einrot.com,707-404-1425,37.686027,-122.388706,30,2016-11-10T12:00:00-08:00,America/Los_Angeles
Alex,Fondren,491 Delaware Avenue,San Francisco,CA,94108,US,AlexJFondren@gustr.com,415-248-3427,37.828346,-122.31833,63,2016-11-23T15:00:00-08:00,America/Los_Angeles
Denise,Christensen,2683 Ella Street,San Francisco,CA,94107,US,DeniseBChristensen@teleworm.us,650-291-9975,37.848572,-122.440463,45,2016-11-13T15:00:00-08:00,America/Los_Angeles
Maria,Williams,372 Roosevelt Street,San Francisco,CA,94143,US,MariaDWilliams@gustr.com,415-396-6915,37.805257,-122.377007,27,2016-11-26T17:00:00-08:00,America/Los_Angeles
Jimmy,Kilmer,1598 Harrison Street,San Francisco,CA,94107,US,JimmyRKilmer@rhyta.com,415-592-6317,37.746872,-122.383654,20,2016-11-04T16:00:00-07:00,America/Los_Angeles
Efrain,Russell,288 Cemetery Street,San Francisco,CA,94104,US,EfrainLRussell@einrot.com,831-740-1513,37.762025,-122.444444,63,2016-11-05T14:00:00-07:00,America/Los_Angeles
Vicky,Heffner,1018 Wolf Pen Road,San Francisco,CA,94107,US,VickyHHeffner@gustr.com,650-389-2813,37.825967,-122.358519,43,2016-11-26T09:00:00-08:00,America/Los_Angeles
Edwin,Goodson,1074 Boring Lane,San Francisco,CA,94107,US,EdwinTGoodson@gustr.com,415-652-6109,37.747425,-122.414751,27,2016-11-25T14:00:00-08:00,America/Los_Angeles
James,Whitehouse,4254 Roosevelt Street,San Francisco,CA,94143,US,JamesNWhitehouse@fleckens.hu,415-371-7474,37.748505,-122.557366,22,2016-11-09T13:00:00-08:00,America/Los_Angeles
Hershel,Harrison,2691 Wolf Pen Road,San Francisco,CA,94107,US,HershelPHarrison@dayrep.com,650-393-5952,37.858684,-122.321621,41,2016-11-04T09:00:00-07:00,America/Los_Angeles
Tara,O'Donnell,3773 Station Street,San Francisco,CA,94107,US,TaraSODonnell@teleworm.us,510-978-2726,37.851721,-122.395763,56,2016-11-04T20:00:00-07:00,America/Los_Angeles
Olin,Norfleet,3024 Jim Rosa Lane,San Francisco,CA,94104,US,OlinGNorfleet@gustr.com,415-779-9580,37.788089,-122.34337,27,2016-11-10T16:00:00-08:00,America/Los_Angeles
Jennie,White,2529 Locust View Drive,San Francisco,CA,94107,US,JennieMWhite@teleworm.us,415-968-6298,37.770045,-122.426506,11,2016-11-16T15:00:00-08:00,America/Los_Angeles
Rebecca,Hicks,36 Park Street,San Francisco,CA,94103,US,RebeccaHHicks@gustr.com,925-459-8491,37.728821,-122.411405,54,2016-11-30T18:00:00-08:00,America/Los_Angeles
Kevin,Albro,1777 Boring Lane,San Francisco,CA,94108,US,KevinVAlbro@cuvox.de,415-627-3367,37.86515,-122.429038,15,2016-11-24T09:00:00-08:00,America/Los_Angeles
George,Hodo,3890 Rardin Drive,San Francisco,CA,94107,US,GeorgeMHodo@rhyta.com,650-648-8808,37.860806,-122.345483,53,2016-11-08T18:00:00-08:00,America/Los_Angeles
Samantha,Blum,4014 Jim Rosa Lane,San Francisco,CA,94110,US,SamanthaDBlum@superrito.com,415-821-3594,37.7728,-122.503416,22,2016-11-26T10:00:00-08:00,America/Los_Angeles
