FirstName,LastName,Street,City,State,Postal,Country,Email,Phone,Latitude,Longitude,Restrictions,Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday
Tanya,Matthews,1780 Black Oak Hollow Road,San Francisco,CA,94107,US,TanyaKMatthews@teleworm.us,408-702-0996,37.809052,-122.483365,7,44536,44382,19514,12035,18094,41561,55924
Elizabeth,Jimenez,4534 Wolf Pen Road,San Francisco,CA,94107,US,ElizabethIJimenez@gustr.com,650-412-7569,37.76768,-122.32831,28,60335,15986,7301,52151,16879,25540,35418
Palmer,Morales,1769 Wolf Pen Road,San Francisco,CA,94143,US,PalmerAMorales@teleworm.us,650-452-1546,37.821059,-122.462214,15,2727,48249,25889,61978,55248,53691,7773
Ricky,Harris,1117 Lynch Street,San Francisco,CA,94103,US,RickyEHarris@dayrep.com,925-218-8043,37.751461,-122.481598,32,32226,9649,49705,21771,57991,36767,24634
Beverly,Caldwell,4352 Harrison Street,San Francisco,CA,94107,US,BeverlyJCaldwell@gustr.com,415-531-7726,37.731712,-122.451843,6,57140,53437,12793,63867,10267,43490,12159
Myra,Donohoe,2333 Roosevelt Street,San Francisco,CA,94112,US,MyraJDonohoe@rhyta.com,415-405-2246,37.682386,-122.384887,44,11325,44013,11907,19189,32596,43984,19658
Eric,Torres,347 Jim Rosa Lane,San Francisco,CA,94108,US,EricATorres@teleworm.us,415-774-8659,37.724077,-122.502033,49,36372,32307,30648,19152,48059,42740,59009
Ruth,Thornell,1807 Meadow Lane,San Francisco,CA,94103,US,RuthJThornell@rhyta.com,707-281-3007,37.813504,-122.494591,44,53738,13990,3795,47006,33249,2226,12768
Helen,Grady,2780 Locust View Drive,San Francisco,CA,94143,US,HelenJGrady@cuvox.de,415-932-3230,37.673607,-122.425487,36,58501,49287,39152,2589,21714,18714,51044
Kristen,Brown,4125 Friendship Lane,San Francisco,CA,94108,US,KristenMBrown@superrito.com,408-607-5735,37.72559,-122.41759,10,52531,51199,20519,8975,3731,57258,60789
